url,name,birthday,congress_term,total_bills
https://www.congress.gov/member/jodey-arrington/A000375,Representative Jodey C. Arrington,(1972 - ),In Congress 2017 - Present |,355
https://www.congress.gov/member/jean-ashbrook/A000220,Representative Jean Ashbrook,(1934 - ),In Congress 1981 - 1983,2
https://www.congress.gov/member/john-ashbrook/A000221,Representative John M. Ashbrook,(1928 - 1982),In Congress 1961 - 1983,637
https://www.congress.gov/member/john-ashcroft/A000356,Senator John Ashcroft,(1942 - ),In Congress 1995 - 2001,793
https://www.congress.gov/member/brad-ashford/A000373,Representative Brad Ashford,(1949 - ),In Congress 2015 - 2017,403
https://www.congress.gov/member/thomas-ashley/A000222,Representative Thomas L. Ashley,(1923 - 2010),In Congress 1955 - 1981,492
https://www.congress.gov/member/les-aspin/A000224,Representative Les Aspin,(1938 - 1995),In Congress 1971 - 1995,1544
https://www.congress.gov/member/chester-atkins/A000226,Representative Chester G. Atkins,(1948 - ),In Congress 1985 - 1993,2622
https://www.congress.gov/member/eugene-atkinson/A000329,Representative Eugene V. Atkinson,(1927 - 2016),In Congress 1979 - 1983,386
https://www.congress.gov/member/les-aucoin/A000337,Representative Les AuCoin,(1942 - ),In Congress 1975 - 1993,2678
https://www.congress.gov/member/steve-austria/A000365,Representative Steve Austria,(1958 - ),In Congress 2009 - 2013,414
https://www.congress.gov/member/cynthia-axne/A000378,Representative Cynthia Axne,(1965 - ),In Congress 2019 - Present |,622
https://www.congress.gov/member/kelly-ayotte/A000368,Senator Kelly Ayotte,(1968 - ),In Congress 2011 - 2017,1399
https://www.congress.gov/member/brian-babin/B001291,Representative Brian Babin,(1948 - ),In Congress 2015 - Present |,1043
https://www.congress.gov/member/joe-baca/B001234,Representative Joe Baca,(1947 - ),In Congress 1999 - 2013,2616
https://www.congress.gov/member/jim-bacchus/B000008,Representative Jim Bacchus,(1949 - ),In Congress 1991 - 1995,834
https://www.congress.gov/member/michele-bachmann/B001256,Representative Michele Bachmann,(1956 - ),In Congress 2007 - 2015,1192
https://www.congress.gov/member/spencer-bachus/B000013,Representative Spencer Bachus,(1947 - ),In Congress 1993 - 2015,3014
https://www.congress.gov/member/don-bacon/B001298,Representative Don Bacon,(1963 - ),In Congress 2017 - Present |,802
https://www.congress.gov/member/robert-badham/B000024,Representative Robert E. Badham,(1929 - 2005),In Congress 1977 - 1989,1586
https://www.congress.gov/member/herman-badillo/B000025,Representative Herman Badillo,(1929 - 2014),In Congress 1971 - 1979,1613
https://www.congress.gov/member/scotty-baesler/B000028,Representative Scotty Baesler,(1941 - ),In Congress 1993 - 1999,369
https://www.congress.gov/member/l-bafalis/B000029,Representative L. A. (Skip) Bafalis,(1929 - ),In Congress 1973 - 1983,1027
https://www.congress.gov/member/donald-bailey/B000037,Representative Donald A. Bailey,(1945 - 2020),In Congress 1979 - 1983,568
https://www.congress.gov/member/wendell-bailey/B000047,Representative Wendell Bailey,(1940 - ),In Congress 1981 - 1983,168
https://www.congress.gov/member/brian-baird/B001229,Representative Brian Baird,(1956 - ),In Congress 1999 - 2011,1910
https://www.congress.gov/member/james-baird/B001307,Representative James R. Baird,(1945 - ),In Congress 2019 - Present |,216
https://www.congress.gov/member/bill-baker/B000078,Representative Bill Baker,(1940 - ),In Congress 1993 - 1997,558
https://www.congress.gov/member/howard-baker/B000063,Senator Howard H. Baker Jr.,(1925 - 2014),In Congress 1967 - 1985,1018
https://www.congress.gov/member/lamar-baker/B000069,Representative LaMar Baker,(1915 - 2003),In Congress 1971 - 1975,164
https://www.congress.gov/member/richard-baker/B000072,Representative Richard H. Baker,(1948 - ),In Congress 1987 - 2008,2848
https://www.congress.gov/member/john-baldacci/B000081,Representative John Elias Baldacci,(1955 - ),In Congress 1995 - 2003,1371
